社員ID,氏名,退職日,入社日,勤続年数,所属部署,ランク,性別,年齢,前職,入社区分,退職理由カテゴリ,退職理由自由記述
E0019,石川 裕樹,2024/12/15,2009/12/19,15,マーケティング,スタッフ,女性,49,エンジニア,新卒,人間関係,直属の上司との価値観の違いや、コミュニケーションの取りづらさに悩んでいました。特にプロジェクト進行中の意見の対立が続き、精神的に大きな負担となっていました。改善を試みたものの、職場の雰囲気にも影響が出てしまいました。チームメンバーとの関係もぎこちなくなり、働き続けることが困難に感じました。より良い人間関係の中で働きたいという思いから退職を決意しました。
E0020,高橋 翼,2025/2/28,2013/3/3,12,企画,部長,女性,24,製造,中途,健康問題,数年前から体調を崩しがちになり、通院や療養が必要となることが増えていました。無理をして働き続けた結果、仕事のパフォーマンスにも影響が出るようになりました。職場のサポートはあったものの、自身の体を第一に考え、退職を決意しました。今後は健康を回復させたうえで、自分に合った働き方を検討したいと思います。長い間ありがとうございました。
E0021,井上 淳,2024/9/2,2022/9/3,2,営業,リーダー,男性,22,事務,新卒,キャリアアップ,現職では自分のスキルや能力を十分に活かせていないと感じておりました。以前から興味を持っていた分野への転職を考えるようになり、資格取得などの準備を進めてきました。自身のキャリアをさらに高めるため、新しい業界への挑戦を決意しました。社内での成長機会が限られていることも一因です。これまでの経験を活かしつつ、さらなる飛躍を目指したいと考えています。
E0022,森 陽子,2024/7/4,2017/7/6,7,企画,スタッフ,男性,55,製造,新卒,その他,長年の夢だった自営業を始めることを決意しました。現職でも多くの経験を積ませていただき感謝していますが、独立への想いを捨てきれませんでした。事業計画や資金の準備が整い、新たな挑戦に踏み出す時期と判断しました。不安もありますが、自分の可能性を信じて進んでいきたいです。これまでお世話になった皆様には心から感謝申し上げます。
E0023,遠藤 裕美子,2024/11/21,2006/11/26,18,営業,部長,男性,47,営業,中途,キャリアアップ,現職では自分のスキルや能力を十分に活かせていないと感じておりました。以前から興味を持っていた分野への転職を考えるようになり、資格取得などの準備を進めてきました。自身のキャリアをさらに高めるため、新しい業界への挑戦を決意しました。社内での成長機会が限られていることも一因です。これまでの経験を活かしつつ、さらなる飛躍を目指したいと考えています。
E0024,青木 美加子,2025/1/27,2017/1/29,8,技術,リーダー,女性,55,営業,新卒,キャリアアップ,現職では自分のスキルや能力を十分に活かせていないと感じておりました。以前から興味を持っていた分野への転職を考えるようになり、資格取得などの準備を進めてきました。自身のキャリアをさらに高めるため、新しい業界への挑戦を決意しました。社内での成長機会が限られていることも一因です。これまでの経験を活かしつつ、さらなる飛躍を目指したいと考えています。
E0025,井上 浩,2025/1/9,2019/1/11,6,人事,スタッフ,女性,51,エンジニア,中途,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0026,鈴木 拓真,2024/6/12,2016/6/14,8,総務,部長,女性,48,事務,中途,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0027,松本 涼平,2024/8/28,2011/9/1,13,人事,スタッフ,男性,38,接客,中途,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0028,高橋 陽子,2024/5/9,2004/5/14,20,営業,部長,男性,36,製造,新卒,キャリアアップ,現職では自分のスキルや能力を十分に活かせていないと感じておりました。以前から興味を持っていた分野への転職を考えるようになり、資格取得などの準備を進めてきました。自身のキャリアをさらに高めるため、新しい業界への挑戦を決意しました。社内での成長機会が限られていることも一因です。これまでの経験を活かしつつ、さらなる飛躍を目指したいと考えています。
E0029,吉田 春香,2024/9/17,2013/9/20,11,技術,リーダー,男性,25,営業,新卒,健康問題,数年前から体調を崩しがちになり、通院や療養が必要となることが増えていました。無理をして働き続けた結果、仕事のパフォーマンスにも影響が出るようになりました。職場のサポートはあったものの、自身の体を第一に考え、退職を決意しました。今後は健康を回復させたうえで、自分に合った働き方を検討したいと思います。長い間ありがとうございました。
E0030,鈴木 直人,2025/1/14,2009/1/18,16,マーケティング,マネージャー,男性,24,エンジニア,新卒,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0031,加藤 洋介,2025/1/28,2022/1/29,3,人事,部長,女性,25,コンサル,新卒,その他,長年の夢だった自営業を始めることを決意しました。現職でも多くの経験を積ませていただき感謝していますが、独立への想いを捨てきれませんでした。事業計画や資金の準備が整い、新たな挑戦に踏み出す時期と判断しました。不安もありますが、自分の可能性を信じて進んでいきたいです。これまでお世話になった皆様には心から感謝申し上げます。
E0032,福田 花子,2024/11/20,2005/11/25,19,人事,スタッフ,男性,51,営業,中途,その他,長年の夢だった自営業を始めることを決意しました。現職でも多くの経験を積ませていただき感謝していますが、独立への想いを捨てきれませんでした。事業計画や資金の準備が整い、新たな挑戦に踏み出す時期と判断しました。不安もありますが、自分の可能性を信じて進んでいきたいです。これまでお世話になった皆様には心から感謝申し上げます。
E0033,遠藤 美加子,2025/3/29,2017/3/31,8,技術,リーダー,女性,54,営業,中途,キャリアアップ,現職では自分のスキルや能力を十分に活かせていないと感じておりました。以前から興味を持っていた分野への転職を考えるようになり、資格取得などの準備を進めてきました。自身のキャリアをさらに高めるため、新しい業界への挑戦を決意しました。社内での成長機会が限られていることも一因です。これまでの経験を活かしつつ、さらなる飛躍を目指したいと考えています。
E0034,松田 あすか,2024/6/9,2008/6/13,16,マーケティング,リーダー,男性,24,製造,中途,その他,長年の夢だった自営業を始めることを決意しました。現職でも多くの経験を積ませていただき感謝していますが、独立への想いを捨てきれませんでした。事業計画や資金の準備が整い、新たな挑戦に踏み出す時期と判断しました。不安もありますが、自分の可能性を信じて進んでいきたいです。これまでお世話になった皆様には心から感謝申し上げます。
E0035,山口 里佳,2024/9/26,2004/10/1,20,企画,リーダー,男性,28,接客,新卒,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0036,山田 聡太郎,2025/1/21,2013/1/24,12,営業,スタッフ,女性,47,接客,新卒,人間関係,直属の上司との価値観の違いや、コミュニケーションの取りづらさに悩んでいました。特にプロジェクト進行中の意見の対立が続き、精神的に大きな負担となっていました。改善を試みたものの、職場の雰囲気にも影響が出てしまいました。チームメンバーとの関係もぎこちなくなり、働き続けることが困難に感じました。より良い人間関係の中で働きたいという思いから退職を決意しました。
E0037,林 英樹,2024/11/9,2005/11/14,19,総務,リーダー,女性,26,製造,中途,その他,長年の夢だった自営業を始めることを決意しました。現職でも多くの経験を積ませていただき感謝していますが、独立への想いを捨てきれませんでした。事業計画や資金の準備が整い、新たな挑戦に踏み出す時期と判断しました。不安もありますが、自分の可能性を信じて進んでいきたいです。これまでお世話になった皆様には心から感謝申し上げます。
E0038,斉藤 花子,2025/3/23,2006/3/28,19,マーケティング,リーダー,女性,32,接客,中途,健康問題,数年前から体調を崩しがちになり、通院や療養が必要となることが増えていました。無理をして働き続けた結果、仕事のパフォーマンスにも影響が出るようになりました。職場のサポートはあったものの、自身の体を第一に考え、退職を決意しました。今後は健康を回復させたうえで、自分に合った働き方を検討したいと思います。長い間ありがとうございました。
E0039,岡本 里佳,2024/7/8,2007/7/13,17,企画,リーダー,男性,57,事務,中途,健康問題,数年前から体調を崩しがちになり、通院や療養が必要となることが増えていました。無理をして働き続けた結果、仕事のパフォーマンスにも影響が出るようになりました。職場のサポートはあったものの、自身の体を第一に考え、退職を決意しました。今後は健康を回復させたうえで、自分に合った働き方を検討したいと思います。長い間ありがとうございました。
E0040,村上 美加子,2024/8/26,2010/8/30,14,営業,スタッフ,女性,59,製造,中途,報酬不満,業務量や責任の重さに対して、報酬が見合っていないと感じていました。昇給や昇進のチャンスも少なく、将来的な不安を抱えていました。同業他社と比較して待遇面での格差が大きく、不公平感がありました。家族を養う立場として、経済的な安定は重要です。そのため、より高い報酬が見込める企業への転職を決めました。
E0041,伊藤 里佳,2024/5/12,2006/5/17,18,人事,リーダー,女性,22,事務,新卒,健康問題,数年前から体調を崩しがちになり、通院や療養が必要となることが増えていました。無理をして働き続けた結果、仕事のパフォーマンスにも影響が出るようになりました。職場のサポートはあったものの、自身の体を第一に考え、退職を決意しました。今後は健康を回復させたうえで、自分に合った働き方を検討したいと思います。長い間ありがとうございました。
E0042,福田 拓真,2025/3/8,2017/3/10,8,営業,スタッフ,男性,59,事務,新卒,報酬不満,業務量や責任の重さに対して、報酬が見合っていないと感じていました。昇給や昇進のチャンスも少なく、将来的な不安を抱えていました。同業他社と比較して待遇面での格差が大きく、不公平感がありました。家族を養う立場として、経済的な安定は重要です。そのため、より高い報酬が見込める企業への転職を決めました。
E0043,中村 真綾,2024/12/1,2005/12/6,19,人事,マネージャー,女性,50,営業,中途,キャリアアップ,現職では自分のスキルや能力を十分に活かせていないと感じておりました。以前から興味を持っていた分野への転職を考えるようになり、資格取得などの準備を進めてきました。自身のキャリアをさらに高めるため、新しい業界への挑戦を決意しました。社内での成長機会が限られていることも一因です。これまでの経験を活かしつつ、さらなる飛躍を目指したいと考えています。
E0044,渡辺 七夏,2025/2/3,2005/2/8,20,総務,部長,男性,47,製造,中途,報酬不満,業務量や責任の重さに対して、報酬が見合っていないと感じていました。昇給や昇進のチャンスも少なく、将来的な不安を抱えていました。同業他社と比較して待遇面での格差が大きく、不公平感がありました。家族を養う立場として、経済的な安定は重要です。そのため、より高い報酬が見込める企業への転職を決めました。
E0045,池田 舞,2024/5/9,2006/5/14,18,技術,マネージャー,男性,25,接客,中途,その他,長年の夢だった自営業を始めることを決意しました。現職でも多くの経験を積ませていただき感謝していますが、独立への想いを捨てきれませんでした。事業計画や資金の準備が整い、新たな挑戦に踏み出す時期と判断しました。不安もありますが、自分の可能性を信じて進んでいきたいです。これまでお世話になった皆様には心から感謝申し上げます。
E0046,渡辺 千代,2024/10/24,2004/10/29,20,マーケティング,リーダー,男性,22,接客,新卒,健康問題,数年前から体調を崩しがちになり、通院や療養が必要となることが増えていました。無理をして働き続けた結果、仕事のパフォーマンスにも影響が出るようになりました。職場のサポートはあったものの、自身の体を第一に考え、退職を決意しました。今後は健康を回復させたうえで、自分に合った働き方を検討したいと思います。長い間ありがとうございました。
E0047,西村 康弘,2025/3/17,2012/3/20,13,技術,リーダー,男性,59,営業,新卒,報酬不満,業務量や責任の重さに対して、報酬が見合っていないと感じていました。昇給や昇進のチャンスも少なく、将来的な不安を抱えていました。同業他社と比較して待遇面での格差が大きく、不公平感がありました。家族を養う立場として、経済的な安定は重要です。そのため、より高い報酬が見込める企業への転職を決めました。
E0048,中川 智也,2024/11/11,2016/11/13,8,マーケティング,スタッフ,女性,27,コンサル,新卒,健康問題,数年前から体調を崩しがちになり、通院や療養が必要となることが増えていました。無理をして働き続けた結果、仕事のパフォーマンスにも影響が出るようになりました。職場のサポートはあったものの、自身の体を第一に考え、退職を決意しました。今後は健康を回復させたうえで、自分に合った働き方を検討したいと思います。長い間ありがとうございました。
E0049,山本 美加子,2024/6/11,2016/6/13,8,技術,スタッフ,女性,49,営業,新卒,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0050,山本 充,2024/10/16,2012/10/19,12,マーケティング,マネージャー,男性,48,営業,新卒,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
